Multiplication times two,Division by two,Relinearization
11134,6819,4064
9740,6399,3663
10482,6438,3679
10551,6620,3318
10571,6360,3709
10637,6816,3668
10023,6368,3614
10252,6602,3640
10531,6511,3527
10894,7532,3812
11632,6952,3792
10401,7049,3789
11358,7343,3697
10175,6325,3476
10896,7587,3550
10673,6694,3968
10270,6570,3801
10035,6694,3684
11394,7967,3876
11042,9565,3843
12302,7563,4317
10617,6745,4041
11980,6760,3632
10478,6919,3660
11438,7262,3876
11463,6577,3928
10903,6820,3922
10859,7113,3829
10919,6620,3830
10116,6725,3661
10581,6492,3750
10786,6509,3848
10724,6675,3613
9949,7170,3480
10868,6478,4176
10863,6457,3833
11110,6875,3477
11112,6832,3713
10754,6759,3802
10593,6682,3659
11055,7821,3588
11048,6706,3465
10329,6480,3611
10216,6452,3760
10933,7115,3934
10665,6936,3715
10130,7435,3646
9956,6825,3917
10626,7040,3719
10487,6628,3503
10924,6617,3741
11008,6935,3969
10494,7449,3962
10420,7062,3922
10835,6498,3677
10851,6907,3629
11227,6644,3691
11246,6357,3674
11006,6708,3589
10211,7284,3834
10732,6794,3814
10425,6380,3907
10259,6725,3911
10116,6694,3801
10843,6616,3660
10827,6696,3580
10422,6397,3982
10698,6602,3832
10634,6525,3743
11273,6868,3510
10601,6541,3899
10726,6956,3625
10386,6477,4047
10003,6642,3758
10122,6669,3728
10325,6572,3543
10578,6476,3786
10843,6757,3734
10446,6520,3831
10796,6689,3899
10425,6431,3719
10625,6242,3866
11924,7621,4069
12675,7893,4124
12417,6893,3774
10887,6812,4692
10883,7086,3785
10434,6689,3765
12020,7135,3609
10603,6490,4420
11086,6883,4334
10361,5901,3771
10408,6977,4428
10390,6840,3666
10885,7017,3821
10856,6794,3598
11041,6684,3911
10751,6708,3538
10247,7011,3914
10184,6991,4075
