Multiplication times two,Division by two,Relinearization
4698,2992,1270
4289,3238,973
4764,3156,1011
4556,3528,1351
4907,3820,1067
4778,3161,1141
6254,3377,1168
4649,3192,1139
4667,3262,1139
4465,3176,1188
4765,2966,1059
4617,3447,1145
4752,3083,1271
4475,2999,1172
4601,3126,1200
4700,3121,1213
4482,3345,1269
4516,3204,1140
4676,3181,1270
4117,3073,981
4207,3019,1078
4435,2971,1037
4093,3092,1078
4297,2977,1059
4473,3069,1081
4173,2999,1068
4346,2944,1070
4532,3100,1176
4191,2889,1256
4371,2962,1031
4694,3055,1147
4298,2979,964
4367,2839,1109
4382,2942,981
4490,3065,1220
4466,2928,1019
4397,3007,1214
4377,3114,1182
4191,3033,1358
4095,2960,1007
4361,2864,1136
4448,3213,1171
4739,3446,1326
4282,3191,1055
4439,3310,1263
5025,3263,1426
4431,3025,1114
5137,3506,1195
4287,2949,987
4403,2981,999
4729,3112,1181
4258,2932,1133
4123,2924,935
4406,2963,1149
4398,3093,1178
4429,3035,1266
4399,2979,1266
4489,3079,1187
4462,3139,1343
4282,3027,1100
4339,3103,1129
4239,3440,1251
4340,2871,1156
4173,2900,1025
4438,3336,1058
4335,3014,1061
4336,2962,1013
4361,3104,1180
4368,3025,1103
4331,3002,1171
4432,3027,1077
4591,3132,1136
4408,3182,1053
4417,3058,1032
4380,3251,1443
4749,3594,1335
4788,3578,1317
5171,3764,1286
5393,3506,1288
5222,3704,1365
5200,3536,1266
4873,3391,1196
4596,2898,1118
4125,2937,1188
4326,3138,1389
4749,3160,1277
4294,3181,1143
4189,3034,1139
4432,3003,1064
4282,3244,1175
4787,3230,1270
4193,3041,1009
4529,3170,1128
4438,3108,1130
4384,2980,1015
4558,3082,1138
4636,3261,1192
4316,3029,981
4375,3151,1151
4154,2980,998
