Multiplication times two,Division by two,Relinearization
18391,9804,7461
18295,10500,6774
16073,10044,7666
17439,9488,8332
17242,9834,7246
17052,9871,7732
19347,11113,7574
17927,10478,7735
18744,10421,7258
18701,9928,7615
18387,10336,7417
18018,10822,6973
18484,9587,7981
17268,10362,8324
19199,10195,8071
18129,10580,8138
17784,10882,7410
18728,10710,6086
18995,10006,7706
17989,10402,7024
19461,9863,7890
18285,10201,7888
17552,10783,8434
18804,10270,7184
18638,10299,8621
17639,9865,7170
19387,10966,6353
17665,10119,7713
18344,9752,7638
17507,10879,7201
17676,10409,7618
19974,11114,7830
19188,10304,7683
18980,10956,8135
18851,11566,7989
18256,10830,6705
18964,10115,7820
17958,11055,8377
18949,10810,7574
18374,10784,6476
19096,10949,7772
18713,11208,7735
18491,10550,8307
17767,10538,7788
18146,10758,7696
16977,10335,7475
18852,10613,6898
19226,11327,6687
18273,10936,7452
18705,10068,7772
17642,11055,7750
18007,10895,8124
19347,11412,7302
18524,10099,7934
18331,10700,7652
17794,10248,7857
19665,10463,7460
18734,10108,8133
19932,10576,7025
18886,10565,7751
18160,10491,7854
17483,11149,8424
18365,10356,7634
19247,10448,7634
18301,10876,7687
17640,10292,7157
17355,10125,6905
18876,10101,7421
19336,10570,6479
20544,11763,7473
19015,10292,7984
16986,10569,8199
18228,10704,8232
18111,11021,6817
18154,10516,7742
18661,10490,7744
18393,10030,7813
19924,11414,7734
18195,10609,8176
18481,10814,7407
18738,10956,7950
18823,10723,7482
19273,10900,6070
18326,10597,7540
18965,11146,7775
18524,10367,7809
18810,11498,7817
20660,10330,7003
16665,10872,7230
16788,10397,7702
19103,10713,8398
18491,9914,7824
18472,9595,8207
19008,10968,8161
19234,10775,7672
17991,10986,7288
18013,11360,6631
18494,10819,7935
18021,10915,8177
18632,10246,7063
