Multiplication times two,Division by two,Relinearization
4297,3347,1223
4336,2963,955
4687,3608,1174
4490,3170,1120
4313,3510,1326
4832,3115,1145
4459,3140,1149
4137,3267,1151
4732,3007,954
4056,3034,995
4038,2890,1019
4463,3197,1133
4454,3364,1086
4327,3166,1137
4642,3178,1120
4389,3020,1175
4437,3436,1119
4431,3393,1063
4436,3207,1204
5010,3171,1181
4393,2965,981
4550,3103,1086
4705,3293,1167
5014,3562,1195
4927,3325,1243
5870,3514,1159
4336,3197,1032
4995,3424,1108
4690,3154,1144
4317,2964,930
4928,3344,1224
4202,3410,1205
4482,2670,794
4764,3137,895
4769,3257,1174
4454,3263,1007
5027,3229,1166
4663,3250,1150
4674,3551,1204
4619,3082,1202
4457,3244,1196
4359,3179,1052
4652,3278,1035
4880,3262,1194
4853,3055,944
4252,3321,1360
4777,3221,1242
4941,3109,1128
4402,3003,1036
4364,3130,1130
4507,2921,1026
4347,3410,1211
4584,3453,1192
4423,3036,1154
4482,2998,1068
4262,3575,1097
4508,2892,1201
4315,2910,960
4533,3214,1123
4336,3013,1010
4282,2974,1096
4797,3092,929
4287,3051,1154
4401,3022,1112
4345,3031,1097
4161,2973,1054
4347,3067,1057
4729,3255,1140
4181,2973,956
4467,3115,1039
4769,2937,1052
4295,3078,987
4385,3180,1134
4451,2928,956
4444,3138,1128
4413,2920,1001
4686,3379,1231
4698,3206,1244
4184,3171,1164
4623,2996,1145
4405,3160,1023
4253,3277,1165
4560,3301,1146
4107,2816,1161
4349,3426,1136
4311,2937,1226
4052,3004,964
4774,3271,1169
4220,2890,1076
4278,3434,974
4586,2845,1063
4227,3235,1159
4268,3039,1102
4771,3024,1123
4281,3231,1028
4473,2951,1146
4241,2962,951
4294,2998,955
4250,3051,1215
4529,2929,1044
