Multiplication times two,Division by two,Relinearization
4457,3138,1138
4440,3310,1123
4745,3245,1013
4581,3237,1192
4612,3545,1105
19378,4080,1618
4314,2790,952
6293,3084,1050
4332,2842,887
3978,2582,789
4087,3155,1188
4484,2894,963
3942,2559,775
4211,2534,793
4384,3142,1130
4485,3155,1061
5369,3329,931
4269,3201,940
3972,2866,921
4640,3127,1135
4445,3272,1170
4598,3190,1187
4467,3193,1142
4497,3116,1095
4479,3098,1600
4144,3240,1098
4454,3199,993
4184,3111,1137
4404,3235,1173
4350,3068,1161
4087,3431,1223
4460,3125,1110
4482,3251,1208
4422,3086,1162
4589,3088,1105
4110,2964,1089
3986,2920,969
4394,2876,1073
4251,2809,1051
4979,3049,966
4313,2958,1076
4313,2827,1075
4722,3045,1117
4016,2898,989
4311,2981,1070
4318,2993,1133
4197,2914,1095
4524,3234,1157
4180,2944,992
4246,2960,1084
4621,3319,1163
4277,2871,1045
4297,2975,951
8906,3087,1148
4255,3013,1013
4248,2985,1037
4475,3109,1102
4536,3167,1147
4779,3374,1206
4677,3331,1246
4430,3010,1119
4433,3241,973
4435,2913,1162
4231,2870,999
4119,3141,992
4367,3068,1124
4225,2910,1148
4168,2942,1131
4386,2935,1047
4216,2981,999
4130,2928,978
5447,3170,1489
4547,3072,1137
5330,2847,1071
4574,3106,993
4504,2983,1198
4076,3826,1161
4354,2929,940
4404,2970,1189
4246,2947,1070
4423,2923,915
4334,3035,964
4219,2909,1106
4151,2835,1091
4249,2946,1030
5084,2827,1069
4139,3034,1185
4296,2990,1102
4357,2969,947
4195,2968,1198
4321,3055,1055
4173,3068,1094
4312,2898,1128
4512,3299,1049
4644,2998,1065
4167,2955,968
4381,2959,1152
4424,2950,1175
4052,3005,985
4189,2944,959
