Multiplication times two,Division by two,Relinearization
10861,8230,4002
10850,7777,3728
10835,7308,3612
11096,7206,3616
11329,7333,3621
11497,6566,4361
11817,6708,3942
11000,6906,3337
11205,7632,3652
11645,7303,3757
11653,7724,4333
10996,7254,3795
10675,6976,4139
11056,7557,3616
11625,7027,4169
12281,7621,4647
11616,7305,3575
12184,7047,4239
11504,7380,4189
11718,7602,4005
11598,7105,4239
12094,7758,4141
11283,7789,3813
11706,6881,4482
11700,7512,3760
11275,7120,3999
11567,6928,4256
12051,7999,3628
12369,7401,4034
11781,7322,3960
10853,7984,3699
11638,7665,4464
11511,7281,4142
11941,7495,3887
11795,7507,4455
11528,7413,4044
11655,7451,3901
11850,6741,4544
11966,7422,4134
12431,7875,3925
11554,7611,3741
11899,8908,4010
11023,7763,3959
11002,7331,4015
11081,6775,3903
10420,6977,3990
10845,7046,3756
10966,6582,4139
11792,6731,3802
11245,6412,3708
11005,7350,3864
11240,6679,3394
11083,6572,4150
11603,7369,4105
11900,7964,4086
11727,7348,4269
13407,7665,4218
12089,6944,4222
11886,8439,4446
12289,7572,3858
11882,7648,3715
12097,7741,4220
11267,7820,4221
10751,7401,3883
11391,6977,4368
11072,7034,3827
11124,6926,3854
12214,7045,3813
12014,6934,4038
11127,6738,4075
10983,7065,4033
10846,7244,4189
11483,7288,3939
10824,6996,4055
10437,6643,4014
10781,6973,3794
10782,6801,4036
10533,7006,3770
10474,6592,3919
10706,6519,3816
11222,6661,3603
10886,6611,3831
10103,6808,3765
11244,7285,4009
10783,6979,3526
10830,7413,3959
11407,7065,3783
10353,6754,3971
11647,6849,4023
11259,7175,3700
11561,7652,3816
11588,6581,3998
11991,6583,3673
10840,7611,3937
10869,7250,3856
11391,6546,3858
10783,6655,3727
10734,7272,3900
10632,7005,3894
10773,6962,3734
