Multiplication times two,Division by two,Relinearization
19298,10414,7023
17054,10139,7848
19132,9955,7660
20063,10109,7689
19955,12201,8125
18682,11004,8109
19095,10830,7802
17753,9807,7981
17658,11913,16617
28786,12215,7622
18364,10807,7962
16983,9671,7267
19419,9985,6696
18747,10155,12606
19425,11157,7233
19157,11275,9605
18013,11281,7385
19602,11635,7668
19918,12322,8030
20050,10880,7821
18155,11576,6820
18544,10414,8141
17778,9629,9030
18137,14018,7431
17910,10578,7358
17302,10928,7990
18052,9569,7468
17457,10716,7102
19770,11896,8191
19196,9558,7249
17965,11170,7256
17451,12165,7475
17791,11008,8209
18016,10532,7980
22172,10840,13796
19646,10397,7524
19565,13488,11415
22163,11361,8676
20043,11713,9728
23693,10251,8006
18964,10322,6250
18620,9817,7734
18948,10204,7478
18409,10224,7542
19507,10361,8024
20099,9949,10704
18665,10621,7643
17493,10542,9298
18540,10622,7844
19000,10062,7243
18041,9921,7479
17278,12144,6389
18728,10072,7546
18541,11628,8924
18705,10083,7530
18346,11632,7930
17865,13060,8880
22352,10008,7441
18197,11667,7934
18544,10611,7170
17272,10782,8158
19129,10004,8346
19218,11980,7468
19099,11628,8581
20456,11838,9988
23252,9876,8202
18131,10478,6756
19305,12959,7579
22308,10634,7310
16735,10308,6375
19195,10297,6227
18972,11327,7823
17938,9941,6837
20100,10517,6310
19180,10194,6490
17907,10536,5788
18461,10026,8125
18831,9666,8015
19984,9649,7789
17633,10035,10538
17590,9873,7630
17588,10353,7655
17502,9876,7750
18389,10210,6114
18782,11048,7347
18195,10013,7387
16554,10326,7276
19842,10735,7758
17965,10491,7085
19527,9537,6366
17007,10050,7738
17124,10186,7407
18627,10023,7290
17660,9692,9804
18552,10904,7240
15870,10550,7785
19352,11589,6106
18677,10222,7550
18170,10477,8830
19062,12111,7623
