Multiplication times two,Division by two,Relinearization
17032,10601,7322
17329,10084,7538
18239,10406,6523
17539,10151,7145
18212,10366,7498
18664,9951,8237
18354,10184,7877
18114,10233,8157
18169,10031,7352
18297,10390,7529
18252,10358,7467
16911,10428,7017
16977,10655,6499
18983,9956,7496
17509,10195,7349
18625,10637,6367
18124,10320,7376
17308,9750,6367
18141,10096,6890
17486,10375,7460
18125,10708,6086
17835,10041,6402
18126,10285,7383
16827,10287,7366
17476,10229,8446
18709,10587,7471
18025,10729,6735
19361,10710,7352
17773,10581,8262
17706,10289,7558
19007,10374,7420
19222,11065,7531
18162,11070,8237
17509,10779,6513
16704,10731,7639
18382,9469,7616
17902,10802,7459
17726,10848,7914
17752,11142,7040
17746,10590,6174
17054,10025,6502
17889,10422,7146
19293,10298,7574
18123,10091,6503
18413,9611,7055
18688,11410,6879
19382,11446,7521
17637,10202,7609
17232,9606,6315
16938,10854,7790
18171,10647,7968
18594,9885,7961
18560,10988,6561
18187,10559,7410
17976,9718,7473
18782,10493,7208
18489,11156,7420
18441,10364,8131
17027,11234,7645
17282,11036,7457
19012,10340,7830
17748,10957,7067
18770,10963,7892
17161,10499,6372
17783,10144,7827
19139,10391,7156
19166,10357,7939
18497,10701,7598
17339,9626,7413
19046,10898,6590
22455,11933,8269
18035,10648,7186
18412,10520,7731
19253,10347,7705
18700,10672,8360
17807,10506,7233
18538,9774,8223
18161,10325,6921
18796,10825,7845
17760,10735,8731
18434,10327,7982
17230,10888,7757
18293,9717,8082
18561,10444,7104
18414,9944,7826
17816,10665,6831
17600,10326,7997
17863,10096,7949
19147,11219,8216
17871,11090,8028
18754,10183,7091
19796,10493,6674
18872,10728,8109
17751,10765,7286
18346,10643,7666
18821,10750,7439
18105,10017,6621
18959,9979,7939
17891,10126,7428
18780,10688,7491
