Multiplication times two,Division by two,Relinearization
4746,3127,1205
4923,3318,1228
4625,3609,1179
4692,3935,1418
5559,3393,1230
4238,3096,836
5415,3237,867
6254,3163,941
4383,3129,1109
4651,3183,1096
4881,3164,1178
4529,3196,997
4378,2903,941
4466,3496,1174
4313,3502,1040
4417,3557,987
4744,3183,1172
4903,3384,1214
6223,3264,1084
4410,3181,1147
4552,3229,1128
5082,3531,1038
5065,3695,1088
4434,2895,992
4622,3221,1185
4825,3349,1050
4582,3120,1090
4386,2948,963
4698,2962,1069
5286,3239,1056
4564,2962,1193
4639,3009,1061
4497,3154,1250
4710,3343,1023
4630,3144,1192
4441,3275,1192
4728,3178,1167
4479,3236,1198
4508,3336,1179
4958,3375,1170
5398,3100,1011
4281,3179,1190
4452,11194,2232
4924,3615,1384
4571,3112,1127
4342,3133,1108
4011,3259,1294
4362,2985,1104
4324,3018,1023
4176,3153,1224
4039,2843,1863
4273,2941,973
4544,3305,1174
4301,3460,1069
4265,2920,1059
4595,3186,1098
5253,2879,1116
4320,3065,995
4781,2993,1092
4265,2890,1127
4279,2952,1001
4531,3009,1129
5078,3276,1165
4203,2964,1101
4452,2979,1036
4592,3180,1046
4434,2965,1215
4260,2891,1176
4521,3138,1129
4433,3261,1023
4469,2925,1080
4440,3223,917
4771,3354,1138
5557,2993,1054
4440,2959,1108
4531,2972,1270
4482,2918,1133
4334,2946,1043
4423,3213,1176
4544,2971,1051
4056,3017,1033
4375,3188,1048
4507,3022,1058
4328,3015,1101
4402,3074,1071
4674,3136,1127
3971,2965,961
4510,2912,1117
4912,2982,1190
4190,3066,1176
4181,2900,1013
4067,2975,993
4340,3047,1101
4176,2934,1043
4506,2916,1162
4170,2914,1163
4166,3006,1000
4486,3091,1213
4297,2864,1175
4076,3678,1102
