Multiplication times two,Division by two,Relinearization
18801,9625,6656
17315,9669,6936
17013,9655,7591
17338,10037,7214
17523,9644,7095
17178,10027,7699
17768,9906,7631
18592,9290,6592
18340,10166,7237
17798,10346,6989
17110,10076,7829
17755,10136,7812
17622,9585,8019
16996,10251,7320
18568,10172,7548
18313,10368,7581
17978,9726,7618
17089,10520,7374
16254,10021,7499
18617,10063,6835
17849,10846,8311
18369,10028,7846
16998,9721,7031
17815,10241,7153
18060,9288,6538
18000,10004,6658
18057,10274,7201
17638,9652,6074
16782,9681,7290
17636,10145,6330
17397,10123,7450
18097,10000,6531
17731,10380,7637
16813,10751,7931
17996,10471,7731
17624,10326,7471
17678,9755,7169
17477,11007,7350
18889,10567,7854
17739,9984,6054
17765,10395,6901
18468,9820,6701
18157,10335,7725
18470,10080,7542
18464,9796,6895
17870,11008,8216
17720,10082,7338
18331,10243,7401
18555,9988,7445
17806,10319,8061
18073,10649,6950
18065,9524,8335
18012,10327,7178
18380,9358,7349
18028,10357,7716
17295,9538,7653
17455,10089,7110
16526,10426,7803
17673,10012,8031
17949,9865,6867
19052,10692,8440
17464,10028,7028
17818,10015,7558
18015,10275,6488
19249,9801,6362
17714,9810,7746
17056,10095,6755
18557,10897,7938
16910,10085,7818
17484,9995,7398
17407,9750,7694
18291,10070,8945
19826,10685,8100
18053,10847,6246
17490,10666,6763
20179,10362,5981
17201,10517,6097
17720,10577,7860
18742,9896,6430
17989,9433,6911
17826,9951,6674
29876,12674,6563
18425,10019,7672
17763,9841,7086
18647,10661,6019
18152,10766,7554
17929,9882,8070
18695,10781,7102
18306,10365,7150
16209,10680,7772
18165,9684,7611
18770,10497,6233
17461,10785,7953
17849,10503,6484
18076,11001,7712
19009,10225,7484
18319,10769,6375
19005,10536,7520
16938,10352,6662
18017,10902,7175
