Microseconds
5706324
5698590
5606821
5533609
5657475
5582134
5558643
5562369
5610153
5566500
5641455
5625509
5546640
5753702
5660358
5599094
5658245
5568538
5555412
5609776
5628222
5697747
5562048
5647960
5594860
5761459
5559929
5621718
5663994
5610989
5604590
5660191
5605365
5635256
5610802
5542539
5767211
5572588
5536518
5609742
5674690
5654383
5579089
5633087
5531574
5655573
5653981
5684093
5579927
5614204
5589142
5612453
5567346
5675868
5648675
5507864
5653163
5544941
5578299
5625486
5661292
5584189
5656957
5570418
5730286
5784822
5648940
5694486
5582591
5660045
5703902
5675273
5605496
5774119
5637755
5635592
5626979
5654888
5618878
5629271
5632870
5718691
5634416
5633903
5563266
5601266
5700266
5604569
5572497
5657465
5611520
5635887
5635509
5658671
5673100
5653510
5621739
5598523
5549129
5644777
